,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACUJUE,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,67,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
1,AGUVED,C1COC(Cc2ccc3ccccc23)C1.Cl.c1ccc2c(CC3CCCO3)ccc2c1,67,1,"[(0, 1), (1, 2), (1, 17), (1, 8), (1, 9), (1, 10), (1, 11), (1, 16), (1, 23), (1, 24), (1, 25), (1, 26), (1, 31)]","[0, 2, 17, 8, 9, 10, 11, 16, 23, 24, 25, 26, 31]","[17, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
2,AKEVUJ,[SbH]1[SbH]23[SbH2-][Ho]12456789%10[Sb]1[SbH-]4[SbH]5([SbH-]16)[SbH]71[Sb]8[SbH]39[Sb]1%10,51,12,"[(6, 12), (8, 12), (9, 12), (11, 12)]","[6, 8, 9, 11]","[51, 67, 51, 51]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
3,ANEJAH,CC(C)c1cccc(C(C)C)c1N=C1C=C(C(C)(C)C)C=C(C(C)(C)C)C1=O.CC(C)c1cccc(C(C)C)c1N=C1C=C(C(C)(C)C)C=C(C(C)(C)C)C1=O.I.I.I,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 32), (1, 7), (1, 35)]","[0, 2, 3, 4, 32, 7, 35]","[53, 53, 53, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
4,ARIJAN,C1CCOC1.C[Si](C)(C)C.C[Si](C)(C)C.Cc1c(C)c(C)c([Si](C)(C)C)c1C,67,9,"[(1, 9), (2, 9), (4, 9), (6, 9), (7, 9), (9, 10), (9, 15), (9, 20)]","[1, 2, 4, 6, 7, 10, 15, 20]","[6, 6, 6, 6, 6, 6, 6, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,ATINUM,CC(C)(C)c1cc(C=NCCN(CCN=Cc2cc(C(C)(C)C)cc(-c3ccccn3)c2O)CCN=Cc2cc(C(C)(C)C)cc(-c3ccccn3)c2O)c(O)c(-c2ccccn2)c1,67,23,"[(8, 23), (11, 23), (14, 23), (22, 23), (23, 24), (23, 34), (23, 38)]","[8, 11, 14, 22, 24, 34, 38]","[7, 7, 7, 8, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
6,AWOCUN,O.O.O.O.O.O.O.O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)]","[0, 2, 3, 4, 5, 6, 7, 8]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
7,AXAQAR,O=N(O)O.O=N(O)O.O=N(O)O.O=N([O-])O.O=N([O-])O,67,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 17), (3, 8), (3, 12), (3, 16), (3, 20)]","[2, 4, 5, 9, 13, 17, 8, 12, 16, 20]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
8,AYEJAQ,CC(N)=O.CC(N)=O.CC(N)=O.CC(N)=O.O.O.O.O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (1, 13), (1, 17)]","[0, 2, 3, 4, 5, 9, 13, 17]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
9,BASLOX,CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC.c1ccc2cc3c(cc2c1)-c1nc-3nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cc5ccccc5cc41)-c1cc4ccccc4cc1-3)c1cc3ccccc3cc21,67,22,"[(6, 22), (10, 22), (14, 22), (21, 22), (22, 23), (22, 27), (22, 44), (22, 68)]","[6, 10, 14, 21, 23, 27, 44, 68]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
10,BATNUJ,C1CCO([Ca]2345678(O9CCCC9)(O9CCCC9)c9%10c2%11c32c43c54c65c76c98[K]%10%1126354789%12%13%14%15c2c7c8c9c%12c%13c%14c2%15)C1.c1ccccccc1,67,33,"[(25, 33), (26, 33), (27, 33), (28, 33), (29, 33), (30, 33), (31, 33), (32, 33), (33, 34), (33, 35), (33, 36), (33, 37), (33, 38), (33, 39), (33, 40), (33, 41)]","[25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
11,BEYSAZ,O.O.O.O.O=S(=O)(O)O.O=S(=O)([O-])O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10), (1, 9), (1, 14)]","[0, 2, 3, 4, 5, 10, 9, 14]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
12,BIWZUF,CC(C)N=C(NC(C)C)N1CC1.CC(C)N=C(NC(C)C)N1CC1.CC(C)N=C(NC(C)C)N1CC1,67,9,"[(3, 9), (5, 9), (9, 10), (9, 22), (9, 15), (9, 27)]","[3, 5, 10, 22, 15, 27]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
13,BONTON,O.O.O.O=N(O)O.O=N(O)O.O=N(O)O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 12), (1, 7), (1, 11), (1, 15)]","[0, 2, 3, 4, 8, 12, 7, 11, 15]","[8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
14,BUTNEL,NC(N)=O.NC(N)=O.NC(N)=O.NC(N)=O.NC(N)=O.NC(N)=O.NC(N)=O,67,4,"[(3, 4), (4, 5), (4, 9), (4, 13), (4, 17), (4, 21), (4, 25)]","[3, 5, 9, 13, 17, 21, 25]","[8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
15,CACDOD,C1CCOC1.Fc1cccc(F)c1N=CNc1c(F)cccc1F.Fc1cccc(F)c1N=CNc1c(F)cccc1F.Fc1cccc(F)c1N=CNc1c(F)cccc1F,67,19,"[(8, 19), (10, 19), (19, 20), (19, 39), (19, 58), (19, 22), (19, 41)]","[8, 10, 20, 39, 58, 22, 41]","[7, 7, 7, 7, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
16,CAMDOJ,CC(C)O[PH](=S)(=S)OC(C)C.CC(C)O[PH](=S)(=S)OC(C)C.CC(C)O[PH](=S)(=S)OC(C)C.CC(C)O[PH](=S)(=S)OC(C)C,67,6,"[(5, 6), (6, 7), (6, 8), (6, 19), (6, 30), (6, 10), (6, 21), (6, 32)]","[5, 7, 8, 19, 30, 10, 21, 32]","[16, 16, 16, 16, 16, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
17,CAQFUV,CC1=NC(c2cccc(C3=NNC(C)=N3)n2)=NN1.O.O=N(O)O.O=N(O)O.O=[N+]([O-])O,67,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 25), (1, 30)]","[0, 2, 6, 10, 14, 5, 9, 25, 30]","[8, 8, 8, 8, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
18,CEDGIF,C#NC1CCCCC1.c1cccc1.c1cccc1.c1cccc1,67,8,"[(7, 8), (8, 9), (8, 14), (8, 19), (8, 10), (8, 11), (8, 12), (8, 13), (8, 15), (8, 16), (8, 17), (8, 18), (8, 20), (8, 21), (8, 22), (8, 23)]","[7, 9, 14, 19, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
19,CEQMOD,O.O.O.O.O.O.O.O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)]","[0, 2, 3, 4, 5, 6, 7, 8]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
20,CEVCUE,CC(=O)NC(C)(C)C.CC(=O)NC(C)(C)C.CC(=O)NC(C)(C)C.O=N(O)O.O=N(O)O.O=N(O)O,67,8,"[(7, 8), (8, 9), (8, 13), (8, 17), (8, 21), (8, 29), (8, 12), (8, 16), (8, 20)]","[7, 9, 13, 17, 21, 29, 12, 16, 20]","[8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
21,CEYZIT,O.O.O.O.O.O.O.O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)]","[0, 2, 3, 4, 5, 6, 7, 8]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
22,CIFXIZ,C1CCOC1.CC(C)Nc1cccccc1=NC(c1ccccc1)C(N=c1cccccc1NC(C)C)c1ccccc1.Cl,67,1,"[(0, 1), (1, 2), (1, 40), (1, 13), (1, 16), (1, 24)]","[0, 2, 40, 13, 16, 24]","[17, 7, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
23,CUSYUK,O.O.O.O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 11), (1, 15), (1, 19), (1, 23)]","[0, 2, 3, 4, 8, 11, 15, 19, 23]","[8, 8, 8, 8, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
24,DAKJEE,Cl.Cl.Cl.[Cl-].[Cl-].[Cl-],67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[17, 17, 17, 17, 17, 17]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
25,DALXUK,N#C[S-].N=C=S.N=C=S.N=C=S.O.O.O.O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 8), (1, 11), (1, 14)]","[0, 2, 3, 4, 5, 8, 11, 14]","[8, 8, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
26,DATVED,CO.CO.O=N(O)O.O=[N+]([O-])c1ccc(O)c(C=NC2CCCCC2N=Cc2cc([N+](=O)[O-])ccc2O)c1,67,2,"[(1, 2), (2, 3), (2, 33), (2, 37), (2, 11), (2, 18), (2, 26), (2, 36)]","[1, 3, 33, 37, 11, 18, 26, 36]","[8, 8, 8, 8, 7, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
27,DEKBAX,N.c1cccc1.c1cccc1.c1cccc1,67,1,"[(0, 1), (1, 2), (1, 7), (1, 12), (1, 3), (1, 4), (1, 5), (1, 6), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (1, 14), (1, 15), (1, 16)]","[0, 2, 7, 12, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16]","[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
28,DEZDIX,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1.N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1.O.O.O.O.O.O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 23)]","[0, 2, 3, 4, 5, 6, 7, 23]","[8, 8, 8, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
29,DIVYIU,CC(C)c1c(C(C)C)c(C(C)C)c(C(C)C)c1C(C)C.CC(C)c1c(C(C)C)c(C(C)C)c(C(C)C)c1C(C)C,67,20,"[(3, 20), (4, 20), (8, 20), (12, 20), (16, 20), (20, 21), (20, 25), (20, 29), (20, 33), (20, 37)]","[3, 4, 8, 12, 16, 21, 25, 29, 33, 37]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
30,DOFPUL,C=CP(=O)(OCC)OCC.Cl.c1cccc1.c1cccc1,67,1,"[(0, 1), (1, 2), (1, 12), (1, 17), (1, 13), (1, 14), (1, 15), (1, 16), (1, 18), (1, 19), (1, 20), (1, 21)]","[0, 2, 12, 17, 13, 14, 15, 16, 18, 19, 20, 21]","[17, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
31,DUCQOH,Nc1nc(c2ccccn2)nc(c2ccccn2)n1.O.O.O=N(O)O.O=N(O)O,67,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 11), (1, 6), (1, 10), (1, 23), (1, 29)]","[0, 2, 3, 7, 11, 6, 10, 23, 29]","[8, 8, 8, 8, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
32,EDIFUU,CCCc1c(CCC)c(CCC)c(c2ccccc2)c1CCC.C[Si](C)(C)C.C[Si](C)(C)C.C[Si](C)(C)C,67,23,"[(3, 23), (4, 23), (8, 23), (12, 23), (19, 23), (23, 24), (23, 29), (23, 34)]","[3, 4, 8, 12, 19, 24, 29, 34]","[6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
33,EFOCEJ,C(=NC1CCCCC1N=Cc1ccccn1)c1ccccn1.O=N(O)O.O=N(O)O.O=N(O)O,67,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 8), (3, 12), (3, 20), (3, 27), (3, 34)]","[2, 4, 5, 9, 13, 8, 12, 20, 27, 34]","[8, 8, 8, 8, 7, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
34,EFUHOD,O=C([O-])CN(CCN(CCN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)[O-],67,18,"[(4, 18), (7, 18), (10, 18), (13, 18), (17, 18), (18, 19), (18, 23), (18, 27), (18, 31)]","[4, 7, 10, 13, 17, 19, 23, 27, 31]","[7, 7, 7, 7, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
35,EWIPUV,COCCOC.COCCOC.Cl.Cl.Cl,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 10), (1, 8), (1, 14)]","[0, 2, 3, 4, 10, 8, 14]","[17, 17, 17, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
36,EWIVAH,Oc1cccccc1O.c1cnn([BH](n2cccn2)n2cccn2)c1.c1cnn([BH](n2cccn2)n2cccn2)c1,67,9,"[(0, 9), (8, 9), (9, 10), (9, 26), (9, 20), (9, 25), (9, 36), (9, 41)]","[0, 8, 10, 26, 20, 25, 36, 41]","[8, 8, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
37,EZIPIP,O.O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CCN(CC(=O)O)CC(=O)O,67,1,"[(0, 1), (1, 2), (1, 6), (1, 9), (1, 12), (1, 16), (1, 20), (1, 24), (1, 28)]","[0, 2, 6, 9, 12, 16, 20, 24, 28]","[8, 8, 7, 7, 7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
38,FABSOT,O.O.O.O.O.O=C(O)c1c(F)c(F)c(F)c(F)c1F.O=C(O)c1c(F)c(F)c(F)c(F)c1F.O=C(O)c1c(F)c(F)c(F)c(F)c1F,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 20), (1, 34)]","[0, 2, 3, 4, 5, 6, 20, 34]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
39,FAGYOC,O.O.O.O.O.O.O=S1(=O)N=C(O)c2ccccc21.O=S1(=O)N=C(O)c2ccccc21,67,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 19)]","[0, 2, 3, 4, 5, 6, 7, 19]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
40,FALSOB,O.O=C([O-])CN(CC(=O)[O-])CC(=O)[O-].O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],67,1,"[(0, 1), (1, 2), (1, 15), (1, 6), (1, 10), (1, 14), (1, 19), (1, 23), (1, 27)]","[0, 2, 15, 6, 10, 14, 19, 23, 27]","[8, 8, 8, 7, 8, 8, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
